,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Eu Bem Que Te Avisei - Tu Empurrou Ele Pei,Eu Bem Que Te Avisei - Tu Empurrou Ele Pei,Mc Delux,2022-02-28,158769,64,0.955,0.411,0.955,0.659,0.00731,0.148,-3.531,0.382,129.962,4
1,Part of Me,I Was / I Am,Noah Kahan,2021-09-17,239027,58,0.689,0.0677,0.689,0.687,0.0,0.0805,-7.832,0.0376,109.986,4
2,MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,2021-09-17,137704,85,0.593,0.293,0.593,0.503,0.0,0.405,-6.725,0.22,178.781,4
3,Let Her Go,All the Little Lights (Deluxe),Passenger,2013-11-29,252733,73,0.445,0.359,0.445,0.541,0.0,0.109,-7.36,0.0736,76.289,4
4,Não foi por mal,"Acorda, Pedrinho",Jovem Dionisio,2022-03-24,135910,49,0.637,0.394,0.637,0.54,0.000366,0.142,-9.966,0.324,91.441,4
5,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,87,0.65,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4
6,Flashbacks,Flashbacks,Zach Hood,2021-01-08,183000,67,0.55,0.879,0.55,0.448,0.0,0.0734,-7.382,0.0314,99.713,4
7,Somebody,Honeymoon Phase,OSKA,2021-01-08,189268,37,0.908,0.798,0.908,0.366,2.03e-05,0.107,-9.98,0.0992,123.038,4
8,Bang!,OK ORCHESTRA,AJR,2021-03-26,170880,62,0.736,0.0153,0.736,0.526,0.0,0.0628,-6.462,0.0566,139.84,4
9,As It Was,As It Was,Harry Styles,2022-03-31,167303,100,0.52,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
10,Heat Waves (with iann dior),Dreamland (+ Bonus Levels),Glass Animals,2021-09-09,175301,73,0.655,0.476,0.655,0.716,0.0,0.479,-5.077,0.0897,80.813,4
11,Pontos de Exclamação,Pontos de Exclamação,Jovem Dionisio,2020-03-06,181000,66,0.724,0.763,0.724,0.332,0.00106,0.0605,-10.92,0.0661,118.036,4
12,679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,2015-06-29,196693,75,0.618,0.00256,0.618,0.717,0.0,0.625,-5.738,0.318,190.05,4
13,Best Friend,Best Friend,Rex Orange County,2017-01-25,262231,78,0.575,0.395,0.575,0.714,0.0,0.115,-5.247,0.0596,144.982,4
14,Unforgettable,Jungle Rules,French Montana,2017-07-14,233901,82,0.726,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4
15,Tom's Diner,Tom's Diner,AnnenMayKantereit,2019-06-28,269333,85,0.68,0.376,0.68,0.428,0.000344,0.355,-8.107,0.135,98.222,4
16,Latchika - Brega Funk,Latchika (Brega Funk),Afinho do Fluxo,2022-01-22,151858,63,0.739,0.0536,0.739,0.85,0.000191,0.305,-2.855,0.177,170.015,4
17,Joga na Minha Cara,Joga na Minha Cara,MC Marley,2022-03-24,160809,55,0.791,0.317,0.791,0.867,0.0,0.178,-1.485,0.104,155.773,4
18,Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John,2021-10-22,202735,74,0.795,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,4
19,Vienna,The Stranger (Legacy Edition),Billy Joel,1977,214240,79,0.532,0.659,0.532,0.495,0.0,0.0754,-6.662,0.0343,124.936,4
20,Dancing On My Own,Only Human (Deluxe),Calum Scott,2018-03-09,260285,80,0.681,0.837,0.681,0.174,3.35e-05,0.0983,-8.745,0.0315,112.672,4
21,Pagodão in the Usa,Quarenight,Ventura,2020-05-28,152400,45,0.739,0.263,0.739,0.761,2.3e-05,0.104,-7.446,0.0776,99.583,4
22,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,91,0.761,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
23,Starlight,Starlight,Dave,2022-03-03,211935,87,0.954,0.341,0.954,0.367,5.48e-06,0.0979,-9.551,0.288,124.026,4
24,Sigue,Sigue/Forever My Love,J Balvin,2022-03-25,159386,84,0.889,0.0515,0.889,0.641,2.75e-05,0.19,-4.494,0.0668,87.99,4
25,Light Switch,Light Switch (Instrumental),Charlie Puth,2022-01-19,185680,81,0.69,0.105,0.69,0.626,0.000335,0.0881,-5.693,0.306,184.009,4
26,Yonaguni,Yonaguni,Bad Bunny,2021-06-04,206710,90,0.644,0.276,0.644,0.648,0.0,0.135,-4.601,0.118,179.951,4
27,Another Love,Long Way Down,Tom Odell,2013-06-17,244360,55,0.442,0.717,0.442,0.538,2.95e-05,0.09,-8.55,0.0451,122.758,4
28,Boyfriend,Boyfriend,Dove Cameron,2022-02-11,153000,91,0.345,0.232,0.345,0.612,0.0,0.194,-6.543,0.0608,179.773,3
29,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhé,2020-01-10,184447,92,0.41,0.0228,0.41,0.611,0.0,0.116,-8.271,0.0467,185.727,3
30,Easy On Me,30,Adele,2021-11-19,224694,85,0.604,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,141.981,4
31,Envolver,Envolver,Anitta,2021-11-11,193805,93,0.812,0.152,0.812,0.736,0.00254,0.0914,-5.421,0.0833,91.993,4
32,Troublemaker (feat. Flo Rida),Right Place Right Time (Expanded Edition),Olly Murs,2012-11-26,185586,75,0.762,0.015,0.762,0.863,0.0,0.125,-3.689,0.0561,106.012,4
33,Piui Tic Tac Camisinha de Chocolate,Piui Tic Tac Camisinha de Chocolate,Mc Rd,2022-02-25,160055,67,0.94,0.531,0.94,0.647,6.1e-06,0.124,-5.799,0.0862,130.037,4
34,Sunroof,Sunroof,Nicky Youre,2021-11-26,163025,82,0.768,0.35,0.768,0.716,0.0,0.15,-5.11,0.0404,131.43,4
35,sentaDONA (Remix) s2,sentaDONA (Remix) s2,Various Artists,2022-03-17,125245,84,0.925,0.252,0.925,0.454,4.19e-06,0.128,-3.533,0.273,135.02,4
36,Miserable Man,Miserable Man,David Kushner,2022-01-07,232991,77,0.632,0.926,0.632,0.349,7.5e-05,0.294,-10.289,0.0346,109.981,4
37,Let Somebody Go - Kygo Remix,Let Somebody Go (Kygo Remix),Coldplay,2022-03-11,197267,62,0.552,0.163,0.552,0.721,0.000183,0.0808,-7.313,0.0323,162.09,4
38,Slow Down (Brega Funk Remix),Quarenight,Ventura,2020-05-28,154482,37,0.764,0.0277,0.764,0.695,0.223,0.0728,-5.995,0.0913,173.998,4
